19:46:33.502 [main] INFO  com.dividend.DividendApplication - Started DividendApplication in 3.357 seconds (JVM running for 3.957)
19:46:46.600 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
19:46:46.600 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
19:46:46.601 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
19:47:36.112 [http-nio-8080-exec-4] INFO  c.d.s.m.s.YahooFinanceScrapper - dividend scrap is started!
19:47:38.680 [http-nio-8080-exec-4] INFO  c.d.s.m.s.YahooFinanceScrapper - dividend scrap is end!
19:48:19.149 [http-nio-8080-exec-5] INFO  c.d.s.c.nonScheduled.FinanceService - 요청받은 3M Company 회사의 배당금 조회 서비스 시작
19:48:19.150 [http-nio-8080-exec-5] INFO  c.d.s.c.nonScheduled.FinanceService - 요청받은 3M Company 회사를 데이터베이스에서 조회 시작
19:48:19.155 [http-nio-8080-exec-5] INFO  c.d.s.c.nonScheduled.FinanceService - 요청받은 3M Company 회사를 데이터베이스에서 조회 끝
19:48:19.155 [http-nio-8080-exec-5] INFO  c.d.s.c.nonScheduled.FinanceService - 요청받은 3M Company 회사의 배당금 조회 시작
19:48:19.161 [http-nio-8080-exec-5] INFO  c.d.s.c.nonScheduled.FinanceService - 요청받은 3M Company 회사의 배당금 조회 끝
19:48:19.162 [http-nio-8080-exec-5] INFO  c.d.s.c.nonScheduled.FinanceService - 요청받은 3M Company 회사의 배당금 조회 서비스 끝
19:48:19.176 [http-nio-8080-exec-5] INFO  c.d.e.h.PreDefinedExceptionHandler - class org.springframework.data.redis.RedisSystemExceptionis occurred!
20:46:21.814 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
20:46:21.816 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
20:46:21.818 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
